Title,Issn,SJR,H index
Ca-A Cancer Journal for Clinicians,"15424863, 00079235",86.091,198
Quarterly Journal of Economics,"00335533, 15314650",36.73,292
Nature Reviews Molecular Cell Biology,"14710072, 14710080",34.201,485
Cell,"00928674, 10974172",26.494,856
New England Journal of Medicine,"00284793, 15334406",26.015,1130
Nature Medicine,"1546170X, 10788956",24.687,605
MMWR Recommendations and Reports,"10575987, 15458601",23.962,151
Nature Biotechnology,"15461696, 10870156",22.781,491
Nature Reviews Materials,20588437,21.927,156
American Economic Review,00028282,21.833,337
Nature Reviews Cancer,"1474175X, 14741768",20.977,484
Nature,"14764687, 00280836",20.957,1331
Journal of Political Economy,"00223808, 1537534X",20.643,207
Reviews of Modern Physics,"00346861, 15390756",20.343,372
Nature Energy,20587546,19.588,196
Nature Reviews Genetics,"14710056, 14710064",19.454,406
Nature Reviews Drug Discovery,"14741784, 14741776",19.423,370
Chemical Reviews,"15206890, 00092665",18.911,790
Nature Reviews Immunology,"14741741, 14741733",18.141,444
Morbidity and Mortality Weekly Report,"01492195, 1545861X",16.786,247
Nature Genetics,"10614036, 15461718",16.732,621
Administrative Science Quarterly,"00018392, 19303815",16.555,201
National Vital Statistics Reports,"15518922, 15518930",16.495,112
Academy of Management Annals,"19416520, 19416067",15.633,95
Journal of Finance,"00221082, 15406261",15.515,336
Annual Review of Immunology,"15453278, 07320582",15.262,317
MMWR Surveillance Summaries,"15458636, 15460738",15.178,114
Chemical Society Reviews,"03060012, 14604744",15.109,595
Nature Reviews Clinical Oncology,"17594782, 17594774",14.809,198
Immunity,"10974180, 10747613",14.795,436
"Lancet, The","01406736, 1474547X",14.607,855
Annual Review of Astronomy and Astrophysics,"15454282, 00664146",14.486,200
Review of Economic Studies,"00346527, 1467937X",14.432,158
Nature Methods,"15487091, 15487105",14.358,363
World Psychiatry,17238617,14.306,125
IEEE Communications Surveys and Tutorials,1553877X,14.248,240
Nature Materials,"14764660, 14761122",13.874,533
Foundations and Trends in Machine Learning,"19358245, 19358237",13.775,36
Physiological Reviews,"15221210, 00319333",13.693,373
MMWR supplements,"23808942, 23808950",13.467,22
Science,"10959203, 00368075",13.328,1283
Nature Catalysis,25201158,13.187,110
Nature Nanotechnology,"17483387, 17483395",13.141,395
Econometrica,"00129682, 14680262",12.979,213
Journal of Economic Literature,00220515,12.966,173
American Economic Journal: Applied Economics,"19457790, 19457782",12.694,100
Cancer Cell,"15356108, 18783686",12.578,378
Energy and Environmental Science,"17545692, 17545706",12.306,408
Joule,25424351,12.282,153
"Lancet Oncology, The","14702045, 14745488",12.27,382
Review of Financial Studies,"14657368, 08939454",12.239,218
Nature Neuroscience,"10976256, 15461726",12.124,460
Advances in Physics,"14606976, 00018732",12.034,121
Annals of Oncology,"15698041, 09237534",11.945,277
Nature Photonics,17494885,11.774,362
Living Reviews in Relativity,"14338351, 23673613",11.561,92
Nature Reviews Disease Primers,2056676X,11.388,155
"Lancet Respiratory Medicine,The","22132619, 22132600",11.204,159
Science immunology,24709468,11.191,90
Annual Review of Biochemistry,"15454509, 00664154",11.154,316
Nature Reviews Chemistry,23973358,10.967,90
Nature Electronics,25201131,10.927,84
Nature Immunology,"15292908, 15292916",10.921,424
Academy of Management Journal,00014273,10.91,358
American Economic Journal: Macroeconomics,"19457707, 19457715",10.871,75
Journal of Marketing,"15477185, 00222429",10.802,268
Academy of Management Review,03637425,10.687,293
Annual Review of Condensed Matter Physics,"19475454, 19475462",10.644,81
Journal of Financial Economics,0304405X,10.601,289
"Lancet Public Health, The",24682667,10.591,75
Current Protocols in Bioinformatics,"19343396, 1934340X",10.408,68
Nature Reviews Microbiology,"17401534, 17401526",10.396,349
Annual Review of Economics,"19411383, 19411391",10.247,67
Cell Host and Microbe,19313128,10.227,219
Nature Reviews Gastroenterology and Hepatology,"17595045, 17595053",10.178,173
Journal of Clinical Oncology,"15277755, 0732183X",10.163,600
Cell Metabolism,15504131,10.037,318
Annual Review of Public Health,"01637525, 15452093",9.963,166
Astronomy and Astrophysics Review,"09354956, 14320754",9.937,74
"Lancet Neurology, The","14744465, 14744422",9.819,336
Nature Cancer,26621347,9.817,44
Nature Cell Biology,"14764679, 14657392",9.568,396
Molecular Cell,"10974164, 10972765",9.541,429
Advanced Materials,"09359648, 15214095",9.538,605
Nature Reviews Methods Primers,26628449,9.476,28
"Lancet Microbe, The",26665247,9.419,33
Nature Reviews Physics,25225820,9.34,52
Advances in Computers,00652458,9.308,38
Genome Biology,14747596,9.249,284
Annual Review of Psychology,"00664308, 15452085",9.226,266
Nature Microbiology,20585276,9.187,121
Cell Stem Cell,19345909,9.156,287
Reviews of Geophysics,87551209,9.061,180
Advanced Energy Materials,"16146832, 16146840",9.044,290
Electrochemical Energy Reviews,25208136,8.905,47
Molecular Cancer,14764598,8.703,171
Annual Review of Pathology: Mechanisms of Disease,"15534006, 15534014",8.628,143
Journal of Economic Perspectives,08953309,8.59,213
Gut,"14683288, 00175749",8.588,328
Progress in Materials Science,"18732208, 00796425",8.515,210
Strategic Management Journal,"10970266, 01432095",8.497,318
Annual Review of Neuroscience,"0147006X, 15454126",8.389,256
Review of Economics and Statistics,"00346535, 15309142",8.371,189
Annual Review of Political Science,"10942939, 15451577",8.346,123
Journal of the American College of Cardiology,"15583597, 07351097",8.343,472
Advances in Optics and Photonics,19438206,8.332,82
Nucleic Acids Research,"03051048, 13624962",8.234,607
"Lancet Diabetes and Endocrinology,The","22138595, 22138587",8.217,151
American Economic Journal: Economic Policy,"19457731, 1945774X",8.175,80
"Lancet Psychiatry,The","22150374, 22150366",8.167,127
"Lancet Infectious Diseases, The","14744457, 14733099",8.14,273
Nature Chemistry,"17554330, 17554349",8.14,271
Annual Review of Plant Biology,"15452123, 15435008",8.131,286
Nature Reviews Endocrinology,"17595037, 17595029",8.124,187
JAMA Oncology,"23742445, 23742437",8.103,154
Cell Research,"17487838, 10010602",8.06,200
Nature Physics,17452473,7.955,315
ACS Energy Letters,23808195,7.855,168
Circulation,"00097322, 15244539",7.8,654
Neuron,"10974199, 08966273",7.736,511
American Political Science Review,"15375943, 00030554",7.734,191
IEEE Journal on Selected Areas in Communications,07338716,7.656,251
Gastroenterology,"15280012, 00165085",7.645,442
Psychological Bulletin,"00332909, 19391455",7.635,345
Marketing Science,"07322399, 1526548X",7.593,145
Clinical Microbiology Reviews,"08938512, 10986618",7.584,314
Nature Structural and Molecular Biology,"15459993, 15459985",7.549,292
Journal of Marketing Research,"00222437, 15477193",7.415,192
American Sociological Review,"00031224, 19398271",7.412,222
Journal of Hepatology,"16000641, 01688278",7.398,282
JAMA Cardiology,"23806583, 23806591",7.371,99
"Lancet Global Health,The",2214109X,7.37,123
Annual Review of Genetics,"15452948, 00664197",7.34,195
Cancer Discovery,"21598274, 21598290",7.268,209
Living Reviews in Solar Physics,"16144961, 23673648",7.235,64
Journal of Management,"01492063, 15571211",7.213,261
Endocrine Reviews,"19457189, 0163769X",7.205,293
"Lancet Regional Health - Europe, The",26667762,7.133,31
Manufacturing and Service Operations Management,"15265498, 15234614",7.126,102
Cell Systems,24054712,7.112,76
Nature Metabolism,25225812,7.045,57
Annual Review of Organizational Psychology and Organizational Behavior,23270608,7.036,66
Nature Reviews Neuroscience,"14710048, 1471003X",6.97,455
European Urology,"03022838, 1421993X",6.963,246
Nature Reviews Cardiology,"17595010, 17595002",6.932,164
Annual Review of Biophysics,"19361238, 1936122X",6.926,169
Nature Climate Change,"17586798, 1758678X",6.849,239
Materials Science and Engineering: R: Reports,0927796X,6.842,159
Chem,24519294,6.8,122
Annals of Mathematics,0003486X,6.76,129
Annual Review of Clinical Psychology,"15485951, 15485943",6.744,134
Nature Protocols,17542189,6.732,287
JAMA Neurology,"21686157, 21686149",6.697,257
JAMA - Journal of the American Medical Association,"15383598, 00987484, 00029955",6.695,739
Foundations and Trends in Signal Processing,"19328346, 19328354",6.676,19
Signal Transduction and Targeted Therapy,"20593635, 20959907",6.63,83
Annual Review of Cell and Developmental Biology,"15308995, 10810706",6.627,233
Nature Biomedical Engineering,2157846X,6.625,97
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,"16181913, 00738301",6.582,46
JAMA Psychiatry,"21686238, 2168622X",6.578,394
Nature Sustainability,23989629,6.568,89
IEEE Wireless Communications,15361284,6.556,177
Organization Science,"15265455, 10477039",6.541,269
Nature Reviews Neurology,"17594766, 17594758",6.536,188
Nature Reviews Nephrology,"1759507X, 17595061",6.494,147
Annals of the Rheumatic Diseases,"00034967, 14682060",6.489,272
Science Robotics,24709476,6.479,79
"Lancet Digital Health, The",25897500,6.433,48
Annual Review of Physiology,"00664278, 15451585",6.429,228
Accounts of Chemical Research,"00014842, 15204898",6.382,436
Science Translational Medicine,"19466234, 19466242",6.361,265
Acta Numerica,"14740508, 09624929",6.341,82
Psychological Science in the Public Interest,"21600031, 15291006",6.295,56
Physical Review X,21603308,6.267,168
EnergyChem,25897780,6.26,30
Journal of the Academy of Marketing Science,"00920703, 15527824",6.248,194
American Journal of Respiratory and Critical Care Medicine,"1073449X, 15354970",6.237,404
Annual Review of Fluid Mechanics,"15454479, 00664189",6.237,207
Journal of Experimental Medicine,"00221007, 15409538",6.237,478
Intensive Care Medicine,"14321238, 03424642",6.229,219
Molecular Systems Biology,17444292,6.22,164
Nature Machine Intelligence,25225839,6.21,47
Materials Today,13697021,6.194,210
